id,hoTen,namSinh,gioiTinh,diaChi,SDT,email,ngayDangKy,biCam,ngayBatDauCam,ngayKetThucCam
DG025,Do Duc Vy,2005,Nu,Tay Ninh,979526201,do.duc.vy@email.com,25/04/2026,false,,
DG026,Vo Thanh An,2005,Nu,Hue,989262722,vo.thanh.an@email.com,25/04/2026,false,,
DG027,Le Thi Chau,1997,Nu,Dong Nai,959782497,le.thi.chau@email.com,25/04/2026,false,,
DG028,Vo Quoc Binh,2000,Nu,Can Tho,930152810,vo.quoc.binh@email.com,25/04/2026,false,,
DG029,Do Bao Vy,2003,Nam,Ha Noi,928929246,do.bao.vy@email.com,25/04/2026,false,,
DG030,Dang Anh Mai,2004,Nam,Tay Ninh,944446006,dang.anh.mai@email.com,25/04/2026,false,,
DG031,Dang Quoc Yen,1997,Nu,Ha Noi,965649738,dang.quoc.yen@email.com,25/04/2026,false,,
DG032,Bui Quoc An,2002,Nu,Ha Noi,973239302,bui.quoc.an@email.com,25/04/2026,false,,
DG033,Vo Gia Phuc,1998,Nu,Nha Trang,910250330,vo.gia.phuc@email.com,25/04/2026,false,,
DG034,Phan Ngoc Nam,2002,Nu,Ha Noi,984958747,phan.ngoc.nam@email.com,25/04/2026,false,,
DG035,Dang Quoc Dung,2003,Nam,Ha Noi,948139822,dang.quoc.dung@email.com,25/04/2026,false,,
DG036,Do Bao Nam,2001,Nam,Can Tho,997016738,do.bao.nam@email.com,25/04/2026,false,,
DG037,Pham Gia Son,2003,Nam,Ha Noi,969599010,pham.gia.son@email.com,25/04/2026,false,,
DG038,Phan Ngoc An,2000,Nu,Binh Duong,916238856,phan.ngoc.an@email.com,25/04/2026,false,,
DG039,Phan Van Nam,2000,Nu,Binh Duong,980469958,phan.van.nam@email.com,25/04/2026,false,,
DG040,Phan Duc An,1999,Nam,Dong Nai,960501169,phan.duc.an@email.com,25/04/2026,false,,
DG041,Le Minh Son,1998,Nu,Nha Trang,944274949,le.minh.son@email.com,25/04/2026,false,,
DG042,Nguyen Ngoc Chau,2002,Nu,Hue,973910455,nguyen.ngoc.chau@email.com,25/04/2026,false,,
DG043,Bui Quoc Mai,2002,Nam,Binh Duong,994583813,bui.quoc.mai@email.com,25/04/2026,false,,
DG044,Phan Thanh Hanh,1997,Nam,Vung Tau,920414739,phan.thanh.hanh@email.com,25/04/2026,false,,
DG045,Le Duc Quan,1999,Nam,Nha Trang,940797647,le.duc.quan@email.com,25/04/2026,false,,
DG046,Do Anh Trang,1999,Nu,Can Tho,964072916,do.anh.trang@email.com,25/04/2026,false,,
DG047,Hoang Anh Trang,2002,Nu,Dong Nai,947534675,hoang.anh.trang@email.com,25/04/2026,false,,
DG048,Pham Gia Hanh,2003,Nu,Ha Noi,924194657,pham.gia.hanh@email.com,25/04/2026,false,,
DG049,Hoang Ngoc Son,2003,Nu,Can Tho,932432530,hoang.ngoc.son@email.com,25/04/2026,false,,
DG050,Do Quoc Quan,2003,Nu,Ha Noi,954127152,do.quoc.quan@email.com,25/04/2026,false,,
DG051,Pham Duc Nam,2002,Nam,TP HCM,983553435,pham.duc.nam@email.com,25/04/2026,false,,
DG052,Pham Thi Nam,2006,Nam,Tay Ninh,948281466,pham.thi.nam@email.com,25/04/2026,false,,
DG053,Phan Van Vy,2003,Nam,Tay Ninh,980998446,phan.van.vy@email.com,25/04/2026,false,,
DG054,Phan Bao Binh,1996,Nam,Hue,948445303,phan.bao.binh@email.com,25/04/2026,false,,
DG055,Dang Thanh Hanh,2004,Nam,Nha Trang,957364421,dang.thanh.hanh@email.com,25/04/2026,false,,
DG056,Tran Thi An,2004,Nu,Can Tho,946799461,tran.thi.an@email.com,25/04/2026,false,,
DG057,Hoang Bao Son,2005,Nu,Tay Ninh,990561772,hoang.bao.son@email.com,25/04/2026,false,,
DG058,Vo Duc Khanh,1996,Nam,Tay Ninh,982177498,vo.duc.khanh@email.com,25/04/2026,false,,
DG059,Nguyen Anh Long,1997,Nu,Can Tho,940925383,nguyen.anh.long@email.com,25/04/2026,false,,
DG060,Vo Anh Chau,1997,Nam,Tay Ninh,999510185,vo.anh.chau@email.com,25/04/2026,false,,
DG061,Le Quoc Phuc,2000,Nu,TP HCM,945028438,le.quoc.phuc@email.com,25/04/2026,false,,
DG062,Nguyen Duc Khanh,1995,Nu,Nha Trang,925996971,nguyen.duc.khanh@email.com,25/04/2026,false,,
DG063,Dang Anh Yen,2004,Nu,Da Nang,949711646,dang.anh.yen@email.com,25/04/2026,false,,
DG064,Pham Bao Chau,1997,Nam,TP HCM,964441660,pham.bao.chau@email.com,25/04/2026,false,,
DG065,Le Anh Binh,2000,Nu,TP HCM,968027838,le.anh.binh@email.com,25/04/2026,false,,
DG066,Hoang Gia Trang,1998,Nam,Dong Nai,944315577,hoang.gia.trang@email.com,25/04/2026,false,,
DG067,Do Duc Son,2005,Nam,Can Tho,946556688,do.duc.son@email.com,25/04/2026,false,,
DG068,Do Thanh Phuc,2004,Nam,Vung Tau,919653147,do.thanh.phuc@email.com,25/04/2026,false,,
DG069,Vo Van Trang,2003,Nu,TP HCM,911644517,vo.van.trang@email.com,25/04/2026,false,,
DG070,Nguyen Van Binh,1997,Nu,Tay Ninh,957471259,nguyen.van.binh@email.com,25/04/2026,false,,
DG071,Pham Minh Yen,1998,Nu,Nha Trang,920140484,pham.minh.yen@email.com,25/04/2026,false,,
DG072,Tran Ngoc Yen,1998,Nam,TP HCM,920496660,tran.ngoc.yen@email.com,25/04/2026,false,,
DG073,Do Bao Nam,1999,Nam,TP HCM,917388221,do.bao.nam@email.com,25/04/2026,false,,
DG074,Pham Van Chau,2001,Nam,Can Tho,930243002,pham.van.chau@email.com,25/04/2026,false,,
DG075,Le Minh Hanh,2002,Nam,Dong Nai,956146574,le.minh.hanh@email.com,25/04/2026,false,,
DG076,Do Gia Mai,2005,Nam,Can Tho,944320144,do.gia.mai@email.com,25/04/2026,false,,
DG077,Vo Bao Khanh,1997,Nu,Dong Nai,961612130,vo.bao.khanh@email.com,25/04/2026,false,,
DG078,Bui Quoc Mai,2006,Nam,Tay Ninh,984868729,bui.quoc.mai@email.com,25/04/2026,false,,
DG079,Pham Thanh An,2005,Nu,Da Nang,952326468,pham.thanh.an@email.com,25/04/2026,false,,
DG080,Phan Duc Phuc,2002,Nam,Can Tho,955905567,phan.duc.phuc@email.com,25/04/2026,false,,
DG081,Tran Ngoc Trang,2000,Nu,Vung Tau,975428231,tran.ngoc.trang@email.com,25/04/2026,false,,
DG082,Hoang Ngoc Khanh,2003,Nam,Nha Trang,980852538,hoang.ngoc.khanh@email.com,25/04/2026,false,,
DG083,Do Van Binh,2001,Nam,Vung Tau,941911021,do.van.binh@email.com,25/04/2026,false,,
DG084,Phan Anh Khanh,2001,Nu,Vung Tau,978569489,phan.anh.khanh@email.com,25/04/2026,false,,
DG085,Bui Ngoc Yen,1996,Nam,Nha Trang,927656567,bui.ngoc.yen@email.com,25/04/2026,false,,
DG086,Phan Quoc Binh,2005,Nam,Hue,987637377,phan.quoc.binh@email.com,25/04/2026,false,,
DG087,Hoang Minh Long,1998,Nu,Ha Noi,985195580,hoang.minh.long@email.com,25/04/2026,false,,
DG088,Dang Minh Hanh,1997,Nam,Tay Ninh,973333028,dang.minh.hanh@email.com,25/04/2026,false,,
DG089,Bui Anh Quan,2003,Nu,Dong Nai,950155885,bui.anh.quan@email.com,25/04/2026,false,,
DG090,Do Thi Quan,2002,Nu,Nha Trang,933001638,do.thi.quan@email.com,25/04/2026,false,,
DG091,Hoang Thanh Chau,1999,Nu,Hue,996957339,hoang.thanh.chau@email.com,25/04/2026,false,,
DG092,Do Duc Mai,1995,Nu,Can Tho,986498628,do.duc.mai@email.com,25/04/2026,false,,
DG093,Nguyen Bao Khanh,2001,Nu,Tay Ninh,954236182,nguyen.bao.khanh@email.com,25/04/2026,false,,
DG094,Bui Gia Hanh,2006,Nu,Vung Tau,975868794,bui.gia.hanh@email.com,25/04/2026,false,,
DG095,Bui Bao Vy,1996,Nu,Nha Trang,945621399,bui.bao.vy@email.com,25/04/2026,false,,
DG096,Dang Gia Hanh,2004,Nam,Nha Trang,999232460,dang.gia.hanh@email.com,25/04/2026,false,,
DG097,Pham Van Vy,2005,Nam,TP HCM,972855699,pham.van.vy@email.com,25/04/2026,false,,
DG098,Nguyen Anh Quan,1997,Nu,Da Nang,999078536,nguyen.anh.quan@email.com,25/04/2026,false,,
DG099,Tran Thi Binh,1996,Nu,Ha Noi,958293584,tran.thi.binh@email.com,25/04/2026,false,,
DG100,Bui Minh Chau,2005,Nam,TP HCM,924762639,bui.minh.chau@email.com,25/04/2026,false,,
DG101,Phan Gia Yen,2001,Nu,Vung Tau,941408084,phan.gia.yen@email.com,25/04/2026,false,,
DG102,Nguyen Gia Long,2004,Nu,TP HCM,938590887,nguyen.gia.long@email.com,25/04/2026,false,,
DG103,Vo Quoc Hanh,2000,Nu,Dong Nai,958731559,vo.quoc.hanh@email.com,25/04/2026,false,,
DG104,Le Gia Trang,2005,Nu,Tay Ninh,983621268,le.gia.trang@email.com,25/04/2026,false,,
DG105,Nguyen Minh Chau,1997,Nu,Hue,932632481,nguyen.minh.chau@email.com,25/04/2026,false,,
DG106,Hoang Minh Nam,1999,Nam,TP HCM,989700881,hoang.minh.nam@email.com,25/04/2026,false,,
DG107,Phan Anh An,1998,Nam,Vung Tau,989567481,phan.anh.an@email.com,25/04/2026,false,,
DG108,Vo Anh Khanh,1996,Nam,Binh Duong,942760618,vo.anh.khanh@email.com,25/04/2026,false,,
DG109,Dang Bao Binh,2006,Nu,Da Nang,974791876,dang.bao.binh@email.com,25/04/2026,false,,
DG110,Le Gia Yen,1995,Nam,Nha Trang,992194003,le.gia.yen@email.com,25/04/2026,false,,
DG111,Tran Bao Nam,2000,Nu,Vung Tau,915845494,tran.bao.nam@email.com,25/04/2026,false,,
DG112,Bui Van Khanh,2000,Nam,Tay Ninh,946052961,bui.van.khanh@email.com,25/04/2026,false,,
DG113,Vo Duc Quan,1997,Nu,Ha Noi,962113949,vo.duc.quan@email.com,25/04/2026,false,,
DG114,Nguyen Thi Long,1998,Nam,Can Tho,945182647,nguyen.thi.long@email.com,25/04/2026,false,,
DG115,Pham Thanh Mai,2000,Nam,Nha Trang,937541918,pham.thanh.mai@email.com,25/04/2026,false,,
DG116,Dang Minh Nam,1997,Nu,Hue,923800669,dang.minh.nam@email.com,25/04/2026,false,,
DG117,Dang Anh Khanh,2003,Nu,Can Tho,934917917,dang.anh.khanh@email.com,25/04/2026,false,,
DG118,Dang Anh Mai,2000,Nam,Nha Trang,917616995,dang.anh.mai@email.com,25/04/2026,false,,
DG119,Phan Duc Long,1997,Nu,Nha Trang,914162305,phan.duc.long@email.com,25/04/2026,false,,
DG120,Nguyen Gia Dung,1999,Nam,Hue,962182841,nguyen.gia.dung@email.com,25/04/2026,false,,
DG121,Bui Gia Khanh,1996,Nu,Can Tho,959750138,bui.gia.khanh@email.com,25/04/2026,false,,
DG122,Dang Gia Chau,1997,Nu,Vung Tau,933485397,dang.gia.chau@email.com,25/04/2026,false,,
DG123,Tran Duc Son,2003,Nu,Ha Noi,959551909,tran.duc.son@email.com,25/04/2026,false,,
DG124,Hoang Minh Chau,2000,Nu,Binh Duong,916532969,hoang.minh.chau@email.com,25/04/2026,false,,
DG125,Pham Van Nam,1999,Nu,Tay Ninh,943835743,pham.van.nam@email.com,25/04/2026,false,,
DG126,Vo Gia Vy,1997,Nu,Can Tho,965642571,vo.gia.vy@email.com,25/04/2026,false,,
DG127,Hoang Thanh Quan,2004,Nam,Nha Trang,949523194,hoang.thanh.quan@email.com,25/04/2026,false,,
DG128,Le Ngoc Vy,1996,Nu,Tay Ninh,944846991,le.ngoc.vy@email.com,25/04/2026,false,,
DG129,Do Bao Long,1997,Nu,Can Tho,980265725,do.bao.long@email.com,25/04/2026,false,,
DG130,Bui Minh Quan,1998,Nu,Vung Tau,993884340,bui.minh.quan@email.com,25/04/2026,false,,
DG131,Do Ngoc Chau,2005,Nu,Hue,916655218,do.ngoc.chau@email.com,25/04/2026,false,,
DG132,Pham Bao Vy,2006,Nu,Vung Tau,976871425,pham.bao.vy@email.com,25/04/2026,false,,
DG133,Dang Ngoc Yen,1998,Nam,Dong Nai,910767501,dang.ngoc.yen@email.com,25/04/2026,false,,
DG134,Vo Gia Quan,2006,Nu,Binh Duong,951818696,vo.gia.quan@email.com,25/04/2026,false,,
DG135,Dang Thi Chau,2001,Nu,TP HCM,970152841,dang.thi.chau@email.com,25/04/2026,false,,
DG136,Le Minh Nam,2001,Nam,Dong Nai,919837433,le.minh.nam@email.com,25/04/2026,false,,
DG137,Bui Thanh Chau,2000,Nu,Ha Noi,918406404,bui.thanh.chau@email.com,25/04/2026,false,,
DG138,Hoang Ngoc Binh,2004,Nam,Dong Nai,914620443,hoang.ngoc.binh@email.com,25/04/2026,false,,
DG139,Le Minh Trang,1996,Nu,Vung Tau,943758638,le.minh.trang@email.com,25/04/2026,false,,
DG140,Le Bao Hanh,2001,Nam,Vung Tau,973946511,le.bao.hanh@email.com,25/04/2026,false,,
DG141,Do Gia Phuc,1999,Nam,Can Tho,966650010,do.gia.phuc@email.com,25/04/2026,false,,
DG142,Do Ngoc Dung,1999,Nu,Dong Nai,955053483,do.ngoc.dung@email.com,25/04/2026,false,,
DG143,Do Thi Chau,1998,Nam,Binh Duong,992095413,do.thi.chau@email.com,25/04/2026,false,,
DG144,Do Thi Mai,2002,Nam,Tay Ninh,921437322,do.thi.mai@email.com,25/04/2026,false,,
DG145,Le Thi Nam,2004,Nam,Binh Duong,919755945,le.thi.nam@email.com,25/04/2026,false,,
DG146,Vo Gia Trang,2000,Nu,Da Nang,953994885,vo.gia.trang@email.com,25/04/2026,false,,
DG147,Tran Duc Nam,1998,Nam,Ha Noi,980281874,tran.duc.nam@email.com,25/04/2026,false,,
DG148,Tran Bao Khanh,1997,Nu,Hue,978292767,tran.bao.khanh@email.com,25/04/2026,false,,
DG149,Dang Gia Binh,2003,Nu,Tay Ninh,950739115,dang.gia.binh@email.com,25/04/2026,false,,
DG150,Pham Minh Chau,2001,Nu,Can Tho,916594885,pham.minh.chau@email.com,25/04/2026,false,,
DG151,Hoang Anh Binh,2004,Nam,Vung Tau,977802802,hoang.anh.binh@email.com,25/04/2026,false,,
DG152,Bui Thanh Dung,1995,Nam,Dong Nai,989811073,bui.thanh.dung@email.com,25/04/2026,false,,
DG153,Hoang Thi Quan,2005,Nam,Can Tho,930098865,hoang.thi.quan@email.com,25/04/2026,false,,
DG154,Tran Anh Quan,1999,Nam,Ha Noi,951739897,tran.anh.quan@email.com,25/04/2026,false,,
DG155,Hoang Duc Chau,2003,Nu,Hue,975504721,hoang.duc.chau@email.com,25/04/2026,false,,
DG156,Nguyen Duc Binh,2003,Nam,TP HCM,926744964,nguyen.duc.binh@email.com,25/04/2026,false,,
DG157,Phan Gia Khanh,2004,Nam,Vung Tau,969097397,phan.gia.khanh@email.com,25/04/2026,false,,
DG158,Bui Van Mai,1998,Nam,Can Tho,961105228,bui.van.mai@email.com,25/04/2026,false,,
DG159,Nguyen Thi Vy,1999,Nu,Nha Trang,974154667,nguyen.thi.vy@email.com,25/04/2026,false,,
DG160,Vo Thi Nam,2005,Nam,Nha Trang,922034505,vo.thi.nam@email.com,25/04/2026,false,,
DG161,Dang Thi Khanh,2000,Nu,Can Tho,956510238,dang.thi.khanh@email.com,25/04/2026,false,,
DG162,Tran Duc Chau,2005,Nu,Tay Ninh,965727964,tran.duc.chau@email.com,25/04/2026,false,,
DG163,Dang Gia Vy,1996,Nu,Nha Trang,925665922,dang.gia.vy@email.com,25/04/2026,false,,
DG164,Phan Bao Quan,2004,Nam,Binh Duong,972021548,phan.bao.quan@email.com,25/04/2026,false,,
DG165,Tran Duc Yen,1998,Nam,Tay Ninh,972367637,tran.duc.yen@email.com,25/04/2026,false,,
DG166,Nguyen Duc Quan,1998,Nu,Hue,930342027,nguyen.duc.quan@email.com,25/04/2026,false,,
DG167,Pham Bao Mai,2004,Nu,Binh Duong,987389907,pham.bao.mai@email.com,25/04/2026,false,,
DG168,Vo Quoc Son,2004,Nu,Binh Duong,939986004,vo.quoc.son@email.com,25/04/2026,false,,
DG169,Le Van Vy,2004,Nam,Dong Nai,999186757,le.van.vy@email.com,25/04/2026,false,,
DG170,Nguyen Anh Yen,2004,Nam,Tay Ninh,979187041,nguyen.anh.yen@email.com,25/04/2026,false,,
DG171,Tran Quoc Vy,1996,Nam,Binh Duong,950694980,tran.quoc.vy@email.com,25/04/2026,false,,
DG172,Do Gia Quan,1995,Nu,Hue,973324549,do.gia.quan@email.com,25/04/2026,false,,
DG173,Le Quoc An,1999,Nam,Dong Nai,941389929,le.quoc.an@email.com,25/04/2026,false,,
DG174,Le Minh Hanh,2000,Nam,Vung Tau,922908556,le.minh.hanh@email.com,25/04/2026,false,,
DG175,Le Gia Trang,2002,Nam,Binh Duong,960486709,le.gia.trang@email.com,25/04/2026,false,,
DG176,Do Gia Son,2004,Nu,Can Tho,942583190,do.gia.son@email.com,25/04/2026,false,,
DG177,Le Gia An,2003,Nam,Hue,962012549,le.gia.an@email.com,25/04/2026,false,,
DG178,Do Thi Khanh,2006,Nam,Binh Duong,936842428,do.thi.khanh@email.com,25/04/2026,false,,
DG179,Hoang Thi Trang,1999,Nu,Nha Trang,913635529,hoang.thi.trang@email.com,25/04/2026,false,,
DG180,Vo Minh Khanh,1997,Nu,Vung Tau,990563804,vo.minh.khanh@email.com,25/04/2026,false,,
DG181,Hoang Ngoc Son,2001,Nu,Da Nang,935721435,hoang.ngoc.son@email.com,25/04/2026,false,,
DG182,Tran Thanh Nam,1999,Nu,TP HCM,955725519,tran.thanh.nam@email.com,25/04/2026,false,,
DG183,Bui Thi Chau,2006,Nu,Dong Nai,954152221,bui.thi.chau@email.com,25/04/2026,false,,
DG184,Do Gia Mai,1996,Nu,Tay Ninh,990851148,do.gia.mai@email.com,25/04/2026,false,,
DG185,Nguyen Van Vy,1999,Nu,Hue,944270896,nguyen.van.vy@email.com,25/04/2026,false,,
DG186,Nguyen Duc Mai,2006,Nam,Vung Tau,953826801,nguyen.duc.mai@email.com,25/04/2026,false,,
DG187,Tran Bao Quan,2002,Nam,Binh Duong,935911349,tran.bao.quan@email.com,25/04/2026,false,,
DG188,Nguyen Thi Mai,1998,Nam,Can Tho,917201227,nguyen.thi.mai@email.com,25/04/2026,false,,
DG189,Le Van Yen,1997,Nu,Nha Trang,926206503,le.van.yen@email.com,25/04/2026,false,,
DG190,Do Bao Long,1997,Nu,Nha Trang,977129957,do.bao.long@email.com,25/04/2026,false,,
DG191,Vo Gia Son,2000,Nam,Can Tho,955632507,vo.gia.son@email.com,25/04/2026,false,,
DG192,Pham Ngoc Quan,2001,Nu,Hue,977821011,pham.ngoc.quan@email.com,25/04/2026,false,,
DG193,Bui Quoc An,2006,Nu,Nha Trang,932004676,bui.quoc.an@email.com,25/04/2026,false,,
DG194,Tran Van Khanh,2005,Nam,Hue,953473378,tran.van.khanh@email.com,25/04/2026,false,,
DG195,Do Thi Dung,1995,Nam,Hue,983611068,do.thi.dung@email.com,25/04/2026,false,,
DG196,Phan Bao Yen,1996,Nu,Tay Ninh,979621004,phan.bao.yen@email.com,25/04/2026,false,,
DG197,Hoang Thi Trang,2001,Nu,Vung Tau,984378851,hoang.thi.trang@email.com,25/04/2026,false,,
DG198,Dang Thi Mai,2003,Nam,Ha Noi,981448185,dang.thi.mai@email.com,25/04/2026,false,,
DG199,Hoang Thanh Khanh,1995,Nam,Hue,917480170,hoang.thanh.khanh@email.com,25/04/2026,false,,
DG200,Vo Gia Quan,2001,Nu,Tay Ninh,963920959,vo.gia.quan@email.com,25/04/2026,false,,
